#Grid_ID FIELDID RA_center DEC_center RA_high1 DEC_high1 RA_high2 DEC_high2 RA_low1 DEC_low1 RA_low2 DEC_low2
G0012 28241090  282.48   -9.00  273.48    0.00  291.48    0.00  273.01  -18.00  291.94  -18.00 
G0012 30071090  300.70   -9.00  291.70    0.00  309.70    0.00  291.24  -18.00  310.17  -18.00 
G0012 31891090  318.93   -9.00  309.93    0.00  327.93    0.00  309.46  -18.00  328.39  -18.00 
G0012 33711090  337.15   -9.00  328.15    0.00  346.15    0.00  327.69  -18.00  346.61  -18.00 
G0012 00910090    9.11    9.00  359.65   18.00   18.58   18.00    0.11    0.00   18.11    0.00 
G0012 02730090   27.34    9.00   17.87   18.00   36.80   18.00   18.34    0.00   36.34    0.00 
G0012 04550090   45.56    9.00   36.10   18.00   55.02   18.00   36.56    0.00   54.56    0.00 
G0012 06370090   63.79    9.00   54.32   18.00   73.25   18.00   54.79    0.00   72.79    0.00 
G0012 08200090   82.01    9.00   72.55   18.00   91.47   18.00   73.01    0.00   91.01    0.00 
G0012 10020090  100.23    9.00   90.77   18.00  109.70   18.00   91.23    0.00  109.23    0.00 
G0012 11840090  118.46    9.00  109.00   18.00  127.92   18.00  109.46    0.00  127.46    0.00 
G0012 13660090  136.68    9.00  127.22   18.00  146.15   18.00  127.68    0.00  145.68    0.00 
G0012 15490090  154.91    9.00  145.44   18.00  164.37   18.00  145.91    0.00  163.91    0.00 
G0012 17310090  173.13    9.00  163.67   18.00  182.59   18.00  164.13    0.00  182.13    0.00 
G0012 19130090  191.36    9.00  181.89   18.00  200.82   18.00  182.36    0.00  200.36    0.00 
G0012 20950090  209.58    9.00  200.12   18.00  219.04   18.00  200.58    0.00  218.58    0.00 
G0012 22780090  227.80    9.00  218.34   18.00  237.27   18.00  218.80    0.00  236.80    0.00 
G0012 24600090  246.03    9.00  236.57   18.00  255.49   18.00  237.03    0.00  255.03    0.00 
G0012 26420090  264.25    9.00  254.79   18.00  273.72   18.00  255.25    0.00  273.25    0.00 
G0012 28240090  282.48    9.00  273.01   18.00  291.94   18.00  273.48    0.00  291.48    0.00 
G0012 30070090  300.70    9.00  291.24   18.00  310.17   18.00  291.70    0.00  309.70    0.00 
G0012 31890090  318.93    9.00  309.46   18.00  328.39   18.00  309.93    0.00  327.93    0.00 
G0012 33710090  337.15    9.00  327.69   18.00  346.61   18.00  328.15    0.00  346.15    0.00 
G0012 01010270   10.10   27.00  358.98   36.00   21.23   36.00    0.64   18.00   19.56   18.00 
G0012 03030270   30.30   27.00   19.18   36.00   41.43   36.00   20.84   18.00   39.77   18.00 
G0012 05050270   50.50   27.00   39.38   36.00   61.63   36.00   41.04   18.00   59.97   18.00 
G0012 07070270   70.71   27.00   59.58   36.00   81.83   36.00   61.24   18.00   80.17   18.00 
G0012 09090270   90.91   27.00   79.78   36.00  102.03   36.00   81.45   18.00  100.37   18.00 
G0012 11110270  111.11   27.00   99.99   36.00  122.23   36.00  101.65   18.00  120.57   18.00 
G0012 13130270  131.31   27.00  120.19   36.00  142.44   36.00  121.85   18.00  140.78   18.00 
G0012 15150270  151.51   27.00  140.39   36.00  162.64   36.00  142.05   18.00  160.98   18.00 
G0012 17170270  171.72   27.00  160.59   36.00  182.84   36.00  162.25   18.00  181.18   18.00 
G0012 19190270  191.92   27.00  180.79   36.00  203.04   36.00  182.45   18.00  201.38   18.00 
G0012 21210270  212.12   27.00  201.00   36.00  223.24   36.00  202.66   18.00  221.58   18.00 
G0012 23230270  232.32   27.00  221.20   36.00  243.45   36.00  222.86   18.00  241.78   18.00 
G0012 25250270  252.52   27.00  241.40   36.00  263.65   36.00  243.06   18.00  261.99   18.00 
G0012 27270270  272.73   27.00  261.60   36.00  283.85   36.00  263.26   18.00  282.19   18.00 
G0012 29290270  292.93   27.00  281.80   36.00  304.05   36.00  283.46   18.00  302.39   18.00 
G0012 31310270  313.13   27.00  302.00   36.00  324.25   36.00  303.67   18.00  322.59   18.00 
G0012 33330270  333.33   27.00  322.21   36.00  344.46   36.00  323.87   18.00  342.79   18.00 
G0012 01270450   12.73   45.00  357.42   54.00   28.04   54.00    1.60   36.00   23.85   36.00 
G0012 03810450   38.18   45.00   22.87   54.00   53.50   54.00   27.06   36.00   49.31   36.00 
G0012 06360450   63.64   45.00   48.33   54.00   78.95   54.00   52.51   36.00   74.76   36.00 
G0012 08900450   89.10   45.00   73.78   54.00  104.41   54.00   77.97   36.00  100.22   36.00 
G0012 11450450  114.55   45.00   99.24   54.00  129.86   54.00  103.43   36.00  125.68   36.00 
G0012 14000450  140.01   45.00  124.70   54.00  155.32   54.00  128.88   36.00  151.13   36.00 
G0012 16540450  165.46   45.00  150.15   54.00  180.77   54.00  154.34   36.00  176.59   36.00 
G0012 19090450  190.92   45.00  175.61   54.00  206.23   54.00  179.79   36.00  202.04   36.00 
G0012 21630450  216.37   45.00  201.06   54.00  231.69   54.00  205.25   36.00  227.50   36.00 
G0012 24180450  241.83   45.00  226.52   54.00  257.14   54.00  230.71   36.00  252.96   36.00 
G0012 26720450  267.29   45.00  251.97   54.00  282.60   54.00  256.16   36.00  278.41   36.00 
G0012 29270450  292.74   45.00  277.43   54.00  308.05   54.00  281.62   36.00  303.87   36.00 
G0012 31810450  318.20   45.00  302.89   54.00  333.51   54.00  307.07   36.00  329.32   36.00 
G0012 34360450  343.65   45.00  328.34   54.00  358.97   54.00  332.53   36.00  354.78   36.00 
G0012 01980630   19.82   63.00  350.70   72.00   48.95   72.00    4.51   54.00   35.14   54.00 
G0012 05940630   59.47   63.00   30.35   72.00   88.60   72.00   44.16   54.00   74.78   54.00 
G0012 09910630   99.12   63.00   70.00   72.00  128.25   72.00   83.81   54.00  114.43   54.00 
G0012 13870630  138.77   63.00  109.64   72.00  167.89   72.00  123.46   54.00  154.08   54.00 
G0012 17840630  178.42   63.00  149.29   72.00  207.54   72.00  163.11   54.00  193.73   54.00 
G0012 21800630  218.07   63.00  188.94   72.00  247.19   72.00  202.75   54.00  233.38   54.00 
G0012 25770630  257.71   63.00  228.59   72.00  286.84   72.00  242.40   54.00  273.03   54.00 
G0012 29730630  297.36   63.00  268.24   72.00  326.49   72.00  282.05   54.00  312.67   54.00 
G0012 33700630  337.01   63.00  307.89   72.00    6.14   72.00  321.70   54.00  352.32   54.00 
G0012 05750810   57.53   81.00 -335884439.18   90.00 335884554.24   90.00   28.41   72.00   86.66   72.00 
G0012 17250810  172.60   81.00 -335884324.11   90.00 335884669.31   90.00  143.47   72.00  201.72   72.00 
G0012 28760810  287.66   81.00 -335884209.05   90.00 335884784.37   90.00  258.54   72.00  316.78   72.00 
